DMC Code,Color Name,HEX,R,G,B,RGB
744,Yellow - PALE,#FEE88D,254,232,141,"254, 232, 141"
745,Yellow - LT PALE,#FEEBA5,254,235,165,"254, 235, 165"
746,Off White,#FAF2D5,250,242,213,"250, 242, 213"
747,Sky Blue - VY LT,#CEE9EA,206,233,234,"206, 233, 234"
754,Peach - LT,#F7C9B0,247,201,176,"247, 201, 176"
758,Terra Cotta - VY LT,#E99F83,233,159,131,"233, 159, 131"
760,Salmon,#EC8880,236,136,128,"236, 136, 128"
761,Salmon - LT,#F8B4AD,248,180,173,"248, 180, 173"
762,Pearl Gray - VY LT,#D1D0D2,209,208,210,"209, 208, 210"
772,Yellow Green - VY LT,#D7EFA7,215,239,167,"215, 239, 167"
775,Baby Blue - VY LT,#D4E3EF,212,227,239,"212, 227, 239"
776,Pink - MED,#FCA8AD,252,168,173,"252, 168, 173"
777,Red - DEEP,#9B0042,155,0,66,"155, 0, 66"
778,Antique Mauve - VY LT,#DCA6A4,220,166,164,"220, 166, 164"
779,Brown,#53332D,83,51,45,"83, 51, 45"
780,Topaz - ULT VY DK,#945026,148,80,38,"148, 80, 38"
781,Topaz - VY DK,#A25F1F,162,95,31,"162, 95, 31"
782,Topaz - DK,#B26923,178,105,35,"178, 105, 35"
783,Topaz - MED,#D0883D,208,136,61,"208, 136, 61"
791,Cornflower Blue - VY DK,#2D2068,45,32,104,"45, 32, 104"
792,Cornflower Blue - DK,#454B8B,69,75,139,"69, 75, 139"
793,Cornflower Blue - MED,#7C82B5,124,130,181,"124, 130, 181"
794,Cornflower Blue - LT,#A0B2D7,160,178,215,"160, 178, 215"
796,Royal Blue - DK,#272276,39,34,118,"39, 34, 118"
797,Royal Blue,#2B3288,43,50,136,"43, 50, 136"
798,Delft Blue - DK,#4E5CA7,78,92,167,"78, 92, 167"
799,Delft Blue - MED,#6B7FC0,107,127,192,"107, 127, 192"
800,Delft Blue - PALE,#B5C7E9,181,199,233,"181, 199, 233"
801,Coffee Brown - DK,#60391D,96,57,29,"96, 57, 29"
803,Blue - DEEP,#202754,32,39,84,"32, 39, 84"
806,Peacock Blue - DK,#1D6C87,29,108,135,"29, 108, 135"
807,Peacock Blue,#558B9E,85,139,158,"85, 139, 158"
809,Delft Blue,#919FD5,145,159,213,"145, 159, 213"
813,Blue - LT,#7FA0C6,127,160,198,"127, 160, 198"
814,Garnet - DK,#711033,113,16,51,"113, 16, 51"
815,Garnet - MED,#800B34,128,11,52,"128, 11, 52"
816,Garnet,#921238,146,18,56,"146, 18, 56"
817,Coral Red - VY DK,#BB1630,187,22,48,"187, 22, 48"
818,Baby Pink,#FEDEDD,254,222,221,"254, 222, 221"
819,Baby Pink - LT,#FCEBDE,252,235,222,"252, 235, 222"
820,Royal Blue - VY DK,#151264,21,18,100,"21, 18, 100"
822,Beige Gray - LT,#E8DFC7,232,223,199,"232, 223, 199"
823,Blue - DK,#000B44,0,11,68,"0, 11, 68"
824,Blue - VY DK,#284779,40,71,121,"40, 71, 121"
825,Blue - DK,#34588F,52,88,143,"52, 88, 143"
826,Blue - MED,#5075A7,80,117,167,"80, 117, 167"
827,Blue - VY LT,#A4C1DE,164,193,222,"164, 193, 222"
828,Blue - ULT VY LT,#C3D7E6,195,215,230,"195, 215, 230"
829,Golden Olive - VY DK,#64480C,100,72,12,"100, 72, 12"
830,Golden Olive - DK,#6E501D,110,80,29,"110, 80, 29"
831,Golden Olive - MED,#7C5F20,124,95,32,"124, 95, 32"
832,Golden Olive,#9C7230,156,114,48,"156, 114, 48"
833,Golden Olive - LT,#B99956,185,153,86,"185, 153, 86"
834,Golden Olive - VY LT,#D2B468,210,180,104,"210, 180, 104"
838,Beige Brown - VY DK,#4A3021,74,48,33,"74, 48, 33"
839,Beige Brown - DK,#5A3C2D,90,60,45,"90, 60, 45"
840,Beige Brown - MED,#7A5939,122,89,57,"122, 89, 57"
841,Beige Brown - LT,#A37D64,163,125,100,"163, 125, 100"
842,Beige Brown - VY LT,#CBB094,203,176,148,"203, 176, 148"
844,Beaver Gray - ULT DK,#494842,73,72,66,"73, 72, 66"
868,Hazel Nut Brown,#995C30,153,92,48,"153, 92, 48"
869,Hazelnut Brown - VY DK,#784C28,120,76,40,"120, 76, 40"
890,Pistachio Green - ULT DK,#324233,50,66,51,"50, 66, 51"
891,Carnation - DK,#EE3246,238,50,70,"238, 50, 70"
892,Carnation - MED,#F44753,244,71,83,"244, 71, 83"
893,Carnation - LT,#F66879,246,104,121,"246, 104, 121"
894,Carnation - VY LT,#FD95A3,253,149,163,"253, 149, 163"
895,Hunter Green - VY DK,#344B2E,52,75,46,"52, 75, 46"
